source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,China is intent on continuing to receive the hundreds of Billions of Dollars they have been taking from the U.S. with unfair trade practices and currency manipulation. So one-sided it should have been stopped many years ago!,08/05/19,15908,71530,FALSE,1.16E+18
Twitter for iPhone,Based on the historic currency manipulation by China it is now even more obvious to everyone that Americans are not paying for the Tariffs – they are being paid for compliments of China and the U.S. is taking in tens of Billions of Dollars! China has always....,08/05/19,17769,91484,FALSE,1.16E+18
Twitter for iPhone,China dropped the price of their currency to an almost a historic low. It’s called “currency manipulation.” Are you listening Federal Reserve? This is a major violation which will greatly weaken China over time!,08/05/19,22378,87494,FALSE,1.16E+18
Twitter for iPhone,Things are going along very well with China. They are paying us Tens of Billions of Dollars made possible by their monetary devaluations and pumping in massive amounts of cash to keep their system going. So far our consumer is paying nothing - and no inflation. No help from Fed!,08/03/19,18531,81940,FALSE,1.16E+18
Twitter Web App,...We look forward to continuing our positive dialogue with China on a comprehensive Trade Deal and feel that the future between our two countries will be a very bright one!,08/01/19,13201,69995,FALSE,1.16E+18
Twitter Web App,...during the talks the U.S. will start on September 1st putting a small additional Tariff of 10% on the remaining 300 Billion Dollars of goods and products coming from China into our Country. This does not include the 250 Billion Dollars already Tariffed at 25%...,08/01/19,14674,70419,FALSE,1.16E+18
Twitter Web App,Our representatives have just returned from China where they had constructive talks having to do with a future Trade Deal. We thought we had a deal with China three months ago but sadly China decided to re-negotiate the deal prior to signing. More recently China agreed to...,08/01/19,16913,81232,FALSE,1.16E+18
Twitter for iPhone,China Iran &amp; other foreign countries are looking at the Democrat Candidates and “drooling” over the small prospect that they could be dealing with them in the not too distant future. They would be able to rip off our beloved USA like never before. With President Trump NO WAY!,08/01/19,20028,84535,FALSE,1.16E+18
Twitter for iPhone,What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy and aggressive rate-cutting cycle which would keep pace with China The European Union and other countries around the world....,07/31/19,15380,71716,FALSE,1.16E+18
Twitter for iPhone,China has lost 5 million jobs and two million manufacturing jobs due to the Trump Tariffs. Trumps got China back on its heels and the United States is doing great. @AndyPuzder @MariaBartiromo,07/30/19,14539,60853,FALSE,1.16E+18
Twitter for iPhone,China is doing very badly worst year in 27 - was supposed to start buying our agricultural product now - no signs that they are doing so. That is the problem with China they just don’t come through. Our Economy has become MUCH larger than the Chinese Economy is last 3 years....,07/30/19,18896,95009,FALSE,1.16E+18
Twitter for iPhone,....countries that know how to play the game against the U.S. That’s actually why the E.U. was formed....and for China until now the U.S. has been “easy pickens.” The Fed has made all of the wrong moves. A small rate cut is not enough but we will win anyway!,07/29/19,13853,67617,FALSE,1.16E+18
Twitter for iPhone,The E.U. and China will further lower interest rates and pump money into their systems making it much easier for their manufacturers to sell product. In the meantime and with very low inflation our Fed does nothing - and probably will do very little by comparison. Too bad!,07/29/19,14535,60548,FALSE,1.16E+18
Twitter for iPhone,Apple will not be given Tariff waiver or relief for Mac Pro parts that are made in China. Make them in the USA no Tariffs!,07/26/19,23706,108357,FALSE,1.15E+18
Twitter for iPhone,Apple will not be given Tariff wavers or relief for Mac Pro parts that are made in China. Make them in the USA no Tariffs!,07/26/19,7744,32459,FALSE,1.15E+18
Twitter for iPhone,There may or may not be National Security concerns with regard to Google and their relationship with China. If there is a problem we will find out about it. I sincerely hope there is not!!!,07/26/19,21221,96148,FALSE,1.15E+18
Twitter for iPhone,Farmers are starting to do great again after 15 years of a downward spiral. The 16 Billion Dollar China “replacement” money didn’t exactly hurt!,07/23/19,12110,59437,FALSE,1.15E+18
Twitter for iPhone,....with the U.S. and wishes it had not broken the original deal in the first place. In the meantime we are receiving Billions of Dollars in Tariffs from China with possibly much more to come. These Tariffs are paid for by China devaluing &amp; pumping not by the U.S. taxpayer!,07/15/19,17005,92841,FALSE,1.15E+18
Twitter for iPhone,China’s 2nd Quarter growth is the slowest it has been in more than 27 years. The United States Tariffs are having a major effect on companies wanting to leave China for non-tariffed countries. Thousands of companies are leaving. This is why China wants to make a deal....,07/15/19,20812,109074,FALSE,1.15E+18
Twitter for iPhone,.....if Mexico produces (which I think they will). Biggest part of deal with Mexico has not yet been revealed! China is similar except they devalue currency &amp; subsidize companies to lessen effect of 25% Tariffs. So far little effect to consumers. Companies will relocate to U.S.,07/12/19,10001,50049,FALSE,1.15E+18
Twitter for iPhone,Mexico is doing great at the Border but China is letting us down in that they have not been buying the agricultural products from our great Farmers that they said they would. Hopefully they will start soon!,07/11/19,11509,50408,FALSE,1.15E+18
Twitter for iPhone,Joe Biden is a reclamation project. Some things are just not salvageable. China and other countries that ripped us off for years are begging for him. He deserted our military our law enforcement and our healthcare. Added more debt than all other Presidents combined. Won’t win!,07/06/19,29363,130535,FALSE,1.15E+18
Twitter for iPhone,China and Europe playing big currency manipulation game and pumping money into their system in order to compete with USA. We should MATCH or continue being the dummies who sit back and politely watch as other countries continue to play their games - as they have for many years!,07/03/19,17333,69302,FALSE,1.15E+18
Twitter for iPhone,....again with China as our relationship with them continues to be a very good one. The quality of the transaction is far more important to me than speed. I am in no hurry but things look very good! There will be no reduction in the Tariffs currently being charged to China.,06/29/19,14565,84014,FALSE,1.15E+18
Twitter for iPhone,I had a great meeting with President Xi of China yesterday far better than expected. I agreed not to increase the already existing Tariffs that we charge China while we continue to negotiate. China has agreed that during the negotiation they will begin purchasing large.....,06/29/19,18978,105031,FALSE,1.15E+18
Twitter for iPhone,.....again with China as our relationship with them continues to be a very good one. The quality of the transaction is far more important to me than speed. I am in no hurry but things look very good! Their will be no reduction in the Tariffs currently being charged to China.,06/29/19,4382,19495,FALSE,1.15E+18
Twitter for iPhone,I had a great meeting with President Xi of China yesterday far better than expected. I agreed not to increase the already existing Tariffs that we charge China while we continue to negotiate. China has agreed that during the negotiation they will begin purchasing large......,06/29/19,5476,22759,FALSE,1.15E+18
Twitter for iPhone,After some very important meetings including my meeting with President Xi of China I will be leaving Japan for South Korea (with President Moon). While there if Chairman Kim of North Korea sees this I would meet him at the Border/DMZ just to shake his hand and say Hello(?)!,06/28/19,39093,169271,FALSE,1.14E+18
Twitter for iPhone,China gets 91% of its Oil from the Straight Japan 62% &amp; many other countries likewise. So why are we protecting the shipping lanes for other countries (many years) for zero compensation. All of these countries should be protecting their own ships on what has always been....,06/24/19,29116,138169,FALSE,1.14E+18
